Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R1,99 Variety Dosa & Pav Bhaji,South Indian,100,"Koramangala 6th Block, Bangalore",3.8,12.9368401346,77.6275635883,13300.0,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order
R1,99 Variety Dosa & Pav Bhaji,Maharashtrian,100,"Koramangala 6th Block, Bangalore",3.8,12.9368401346,77.6275635883,13300.0,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order
R2,Hotel Revoli Inn,Chinese,100,"Shanti Nagar, Bangalore",3.9,12.9559767755,77.5920712575,1862.0,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order
R2,Hotel Revoli Inn,North Indian,100,"Shanti Nagar, Bangalore",3.9,12.9559767755,77.5920712575,1862.0,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order
R2,Hotel Revoli Inn,Mughlai,100,"Shanti Nagar, Bangalore",3.9,12.9559767755,77.5920712575,1862.0,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order
R3,Empire Restaurant,North Indian,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R3,Empire Restaurant,Biryani,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R3,Empire Restaurant,Kebab,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R3,Empire Restaurant,Chinese,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R3,Empire Restaurant,South Indian,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R3,Empire Restaurant,Mughlai,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R3,Empire Restaurant,Beverages,100,"Shivajinagar, Bangalore",4.1,12.9799195218,77.6026867703,17000.0,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
R4,Cookie Man,Bakery,100,"Garuda Mall, Magrath Road, Bangalore",4.4,12.9702304381,77.6101560518,217.0,https://www.zomato.com/bangalore/cookie-man-brigade-road/order
R5,McDonald's,Burger,100,"MG Road, Bangalore",3.9,12.976021521,77.5982782245,5812.0,https://www.zomato.com/bangalore/mcdonalds-mg-road/order
R5,McDonald's,Fast Food,100,"MG Road, Bangalore",3.9,12.976021521,77.5982782245,5812.0,https://www.zomato.com/bangalore/mcdonalds-mg-road/order
R6,Hari Super Sandwich,Fast Food,100,"Brigade Road, Bangalore",3.7,12.9705985347,77.6066276712,1505.0,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order
R6,Hari Super Sandwich,Sandwich,100,"Brigade Road, Bangalore",3.7,12.9705985347,77.6066276712,1505.0,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order
R6,Hari Super Sandwich,Street Food,100,"Brigade Road, Bangalore",3.7,12.9705985347,77.6066276712,1505.0,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order
