Restaurant_Name,Latitude,Longitude,Location,Delivery_review_number
99 Variety Dosa & Pav Bhaji,12.9368401346,77.6275635883,"Koramangala 6th Block, Bangalore",13.3K
Hotel Revoli Inn,12.9559767755,77.5920712575,"Shanti Nagar, Bangalore","1,862"
Empire Restaurant,12.9799195218,77.6026867703,"Shivajinagar, Bangalore",17K
Cookie Man,12.9702304381,77.6101560518,"Garuda Mall, Magrath Road, Bangalore",217
McDonald's,12.9760215210,77.5982782245,"MG Road, Bangalore","5,812"
Hari Super Sandwich,12.9705985347,77.6066276712,"Brigade Road, Bangalore","1,505"
Salt - Indian Restaurant Bar & Grill,12.9715865504,77.5960584972,"UB City, Bangalore",84
Punjabi Dhaba,12.9669504527,77.6409813389,"Indiranagar, Bangalore","3,052"
Domino's Pizza,12.9620393786,77.6015927643,"Shanti Nagar, Bangalore","8,979"
Pizza Hut,12.9623252697,77.5991009921,"Shanti Nagar, Bangalore","4,529"
KFC,12.9732595519,77.6075070340,"Brigade Road, Bangalore",469
Burger King,12.9827171190,77.6066054776,"Commercial Street, Bangalore",10.5K
Meghana Foods,12.9731013292,77.6092397422,"Residency Road, Bangalore",23.5K
Five Star Chicken,12.9850702796,77.6069067090,"Shivajinagar, Bangalore",84
Kanti Sweets,12.9704686184,77.6066775620,"Brigade Road, Bangalore","2,662"
Leon's Burgers & Wings,12.9977255096,77.6109583693,"Frazer Town, Bangalore","3,588"
Onesta,12.9915865000,77.5705801000,"Mantri Square, Malleshwaram, Bangalore",56
Polar Bear,12.9495127769,77.5746348873,"Basavanagudi, Bangalore","4,856"
Truffles,12.9719284074,77.6010630280,"St. Marks Road, Bangalore","1,836"
Al-Bek,12.9943570457,77.5715818629,"Malleshwaram, Bangalore",34.4K
La Pino'z Pizza,12.9467491155,77.5693371892,"Basavanagudi, Bangalore","3,582"
A2B - Adyar Ananda Bhavan,12.9544136000,77.5930683000,"Shanti Nagar, Bangalore",806
Corner House Ice Creams,12.9736747193,77.6093218848,"Residency Road, Bangalore","6,151"
Nandhana Palace,12.9621305371,77.6419469342,"Indiranagar, Bangalore","8,482"
Thalassery Restaurant,13.0150487560,77.6315744966,"Kammanahalli, Bangalore","9,181"
CakeZone,12.9404040000,77.6251730000,"Koramangala 6th Block, Bangalore","2,672"
Goli Vada Pav No. 1,12.9393346535,77.5840189308,"Jayanagar, Bangalore","1,117"
Kabab Magic,12.9640984409,77.6065716147,"Richmond Town, Bangalore","2,974"
Chicking,12.9809325000,77.5629622000,"Rajajinagar, Bangalore",937
