Name,Price_For_One,Cuisines,Rating,Urls
99 Variety Dosa & Pav Bhaji,₹100 for one,"South Indian, Maharashtrian",3.8,https://www.zomato.com/bangalore/99-variety-dosa-pav-bhaji-koramangala-6th-block-bangalore/order
Hotel Revoli Inn,₹100 for one,"Chinese, North Indian, Mughlai",3.9,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order
Empire Restaurant,₹100 for one,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",4.1,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order
Cookie Man,₹100 for one,Bakery,4.4,https://www.zomato.com/bangalore/cookie-man-brigade-road/order
McDonald's,₹100 for one,"Burger, Fast Food",3.9,https://www.zomato.com/bangalore/mcdonalds-mg-road/order
Hari Super Sandwich,₹100 for one,"Fast Food, Sandwich, Street Food",3.7,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order
Salt - Indian Restaurant Bar & Grill,₹100 for one,"North Indian, BBQ, Biryani, Mughlai, Seafood, Beverages, Desserts",4.1,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-lavelle-road-bangalore/order
Punjabi Dhaba,₹100 for one,"North Indian, Mughlai, Chinese",3.3,https://www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore/order
Domino's Pizza,₹100 for one,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order
Pizza Hut,₹200 for one,"Pizza, Fast Food, Desserts, Beverages",3.8,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order
KFC,₹200 for one,"Burger, Fast Food, Biryani, Desserts, Beverages",3.7,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order
Burger King,₹200 for one,4825+ orders placed from here recently,4,https://www.zomato.com/bangalore/burger-king-commercial-street/order
